eForms code,eForms label,OCDS code,OCDS label
slc-abil,Technical and professional ability,technical,Technical
slc-abil-facil-res,"Study, technical and research facilities",technical,Technical
slc-abil-facil-tools,"Tools, plant, or technical equipment",technical,Technical
slc-abil-mgmt-env,Environmental management measures,technical,Technical
slc-abil-mgmt-qual,Measures for ensuring quality,technical,Technical
slc-abil-mgmt-supply,Supply chain management,technical,Technical
slc-abil-qual-inst,Certificates by quality control institutes,technical,Technical
slc-abil-qual-smp-w-autent,"Samples, descriptions, or photographs with certification of authenticity for supply contracts",technical,Technical
slc-abil-qual-smp-wo-autent,"Samples, descriptions, or photographs without certification of authenticity",technical,Technical
slc-abil-ref-services,References on specified services,technical,Technical
slc-abil-ref-work,References on specified works,technical,Technical
slc-abil-staff-qual,Relevant educationsl and professional qualifications,technical,Technical
slc-abil-staff-tech-ctrl,Technicians or technical bodies for quality control,technical,Technical
slc-abil-staff-tech-work,Technicians or technical bodies to carry out the work,technical,Technical
slc-abil-staff-yrly-avg-mp,Average yearly manpower,technical,Technical
slc-abil-staff-yrly-no-mgmt,Number of managerial staff,technical,Technical
slc-abil-subc,Subcontracting proportion,technical,Technical
slc-sche,Quality assurance schemes and environmental management standards,other,Other
slc-sche-env-cert-indep,Certificates by independent bodies about environmental management systems or standards,other,Other
slc-sche-qu-cert-indep,Certificates by independent bodies about quality assurance standards,other,Other
slc-sec,"Ability to secure information, processes, and deliveries",other,Other
slc-sec-inf,Security of information,other,Other
slc-sec-proc,"Security to process, store and transmit classified information",other,Other
slc-sec-supply,Security of supply,other,Other
slc-stand,Economic and financial standing,economic,Economic
slc-stand-ins,Professional risk indemnity insurance,economic,Economic
slc-stand-other,Other economic or financial requirements,economic,Economic
slc-stand-ration,Financial ratio,economic,Economic
slc-stand-to-avg,Average yearly turnover,economic,Economic
slc-stand-to-gen,General yearly turnover,economic,Economic
slc-stand-to-spec,Specific yearly turnover,economic,Economic
slc-stand-to-spec-avg,Specific average yearly turnover,economic,Economic
slc-suit,Suitability,suitability,Suitability
slc-suit-auth-mbrshp,Authorisation or membership of a particular organisation needed for service contracts,suitability,Suitability
slc-suit-ref-prof,Enrolment in a relevant professional register,suitability,Suitability
slc-suit-reg-trade,Enrolment in a trade register,suitability,Suitability
